MEDORUM,HEBRAEORUM IUDA,,HEBRAEORUM ISRAEL,LYDORUM,LATINORUM,ATHENIENSIUM,,MACEDONUM,REGN AEGYPTIORUM,ANN. MUNDI.
Olympias. I.,,,,,,,,,,
XVI,L,,X,III,XXI,III,Arctinus milesius versificator florentissimus hr.,X,VI,
,,,Post quem FACEE ann. XX.,,,,,,,
XVII,LI,,I Sub hoc facee Theglad fallassar rex assyrius magna* partem populi ludeorum Assyrios transtulit.,IIII,XXII,IIII,,XI,VII,
XVIII,LII,,II,V,XXIII,V,,XII,VIIII,
.,Hebreoru Iuda. XIII. Ioatham. ann. XVI,,,,,,,Macedonu. III. TITAMMAS. ann. XXXVIII,,
XIX,I,,III,VI,XXIIII,VI,Athenis pmu Trieres Nauigauit: Amynocleo cursum dirigente.,I,IX,
Olympias II,,,,,,,,,,
XX,II,,IIII,VII,XXV,VII,Remus et romulus generantur matre Ilia.,II,X,

